date,close,rules_regime,threshold_regime,hybrid_regime
2016-12-01,108.2742919921875,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-02,108.48998260498047,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-05,109.33386993408203,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-06,109.596435546875,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-07,110.98419952392578,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-08,111.18111419677734,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-09,112.05316925048828,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-12,111.54678344726562,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-13,112.9533462524414,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-14,112.71891784667969,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-15,112.89707946777344,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-16,112.47856903076172,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-19,112.93942260742188,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-20,113.37202453613281,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-21,113.2873764038086,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-22,112.96762084960938,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-23,113.04283905029297,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-27,113.62593078613281,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-12-28,112.7419204711914,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-29,112.58201599121094,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-12-30,111.42528533935547,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-03,112.4221420288086,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-04,113.03345489501953,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-05,113.67295837402344,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-06,114.66983795166016,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-09,115.0460433959961,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-10,115.29995727539062,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-11,115.61027526855469,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-12,115.43161010742188,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-13,115.82661437988281,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-17,115.47862243652344,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-18,115.71375274658203,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-19,115.65731811523438,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-20,115.91122436523438,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-23,116.0052719116211,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-24,116.7858657836914,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-25,117.9614486694336,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-26,118.08370208740234,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-27,118.3094253540039,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-30,117.38776397705078,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-01-31,117.15264129638672,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-01,117.9614486694336,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-02,117.85800170898438,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-03,118.1965560913086,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-06,118.33761596679688,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-07,118.77025604248047,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-08,118.96772003173828,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-09,119.40033721923828,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-10,119.79534912109375,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-13,120.47245788574219,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-14,120.87684631347656,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-15,121.59158325195312,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-16,121.55400085449219,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-17,122.08065795898438,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-21,122.68252563476562,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-22,122.72955322265625,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-23,122.26873779296875,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-24,122.50382995605469,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-27,122.654296875,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-02-28,122.27813720703125,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-01,123.61359405517578,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-02,122.99285888671875,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-03,123.21859741210938,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-06,122.94583892822266,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-07,122.73893737792969,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2017-03-08,122.95525360107422,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
